Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,2,1,Furnished,650,Ready to Move,4,650,East,-,"₹ 43,00,000","Rohini Sector 2, Delhi, Delhi",2 Bds - 1 Ba - 650 ft2
Builder Floors,2,2,Semi-Furnished,500,Ready to Move,4,600,East,1,"₹ 25,00,000","Dwarka Mor, Delhi, Delhi",2 Bds - 2 Ba - 600 ft2
Builder Floors,2,2,Semi-Furnished,900,Ready to Move,3,1000,North-East,1,"₹ 1,10,00,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 1000 ft2
Apartments,2,2,Semi-Furnished,999,Ready to Move,2,1000,North,3+,"₹ 1,30,00,000","Pitampura, Delhi, Delhi",2 Bds - 2 Ba - 1000 ft2
Apartments,2,2,Semi-Furnished,840,Ready to Move,3,850,North-East,1,"₹ 49,00,000","Vikaspuri, Delhi, Delhi",2 Bds - 2 Ba - 850 ft2
Builder Floors,3,2,Semi-Furnished,800,Ready to Move,4,850,East,1,"₹ 41,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 2 Ba - 850 ft2
Builder Floors,4,4,Semi-Furnished,1110,Ready to Move,4,1170,North-East,0,"₹ 88,00,000","Chand Nagar, Delhi, Delhi",4 Bds - 4 Ba - 1170 ft2
Builder Floors,2,2,Semi-Furnished,500,Ready to Move,4,550,North-West,1,"₹ 30,00,000","Dwarka Mor, Delhi, Delhi",2 Bds - 2 Ba - 550 ft2
Builder Floors,2,2,Semi-Furnished,480,Ready to Move,4,495,-,-,"₹ 26,00,000","Mohan Garden, Delhi, Delhi",2 Bds - 2 Ba - 495 ft2
Builder Floors,3,2,Semi-Furnished,880,Ready to Move,4,900,East,1,"₹ 47,00,000","Dwarka Mor, Delhi, Delhi",3 Bds - 2 Ba - 900 ft2
Builder Floors,1,1,Unfurnished,450,Ready to Move,3,450,West,0,"₹ 24,50,000","Shahpura, Delhi, Delhi",1 Bds - 1 Ba - 450 ft2
Apartments,3,2,Furnished,2200,Ready to Move,-,2385,East,-,"₹ 79,00,000","Rajouri Garden, Delhi, Delhi",3 Bds - 2 Ba - 2385 ft2
Builder Floors,2,2,Furnished,540,Ready to Move,4,570,East,1,"₹ 25,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 570 ft2
Houses & Villas,3,1,Furnished,580,Ready to Move,2,600,North,0,"₹ 3,90,000","Shakurbasti, Delhi, Delhi",3 Bds - 1 Ba - 600 ft2
Apartments,3,2,Unfurnished,1000,Ready to Move,1,1200,South-East,1,"₹ 1,49,00,000","Vikaspuri, Delhi, Delhi",3 Bds - 2 Ba - 1200 ft2
Builder Floors,2,-,Semi-Furnished,387,Ready to Move,4,387,West,0,"₹ 13,00,000","Chander Vihar, Delhi, Delhi",-
Houses & Villas,3,4,Semi-Furnished,1800,Ready to Move,2,900,South,2,"₹ 1,25,00,000","Bhagwati Vihar, Delhi, Delhi",3 Bds - 4 Ba - 900 ft2
Builder Floors,3,2,Semi-Furnished,85,Ready to Move,4,85,South-East,1,"₹ 52,00,000","Rohini Sector 4, Delhi, Delhi",3 Bds - 2 Ba - 85 ft2
Builder Floors,4+,4+,Semi-Furnished,450,Ready to Move,4,450,North-West,0,"₹ 70,00,000","Om Vihar, Delhi, Delhi",4+ Bds - 4+ Ba - 450 ft2
Builder Floors,2,2,Semi-Furnished,550,Ready to Move,4,600,West,1,"₹ 30,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 600 ft2
Apartments,4,3,Unfurnished,1800,Ready to Move,2,1800,East,1,"₹ 1,75,00,000","Rohtak Road, Delhi, Delhi",4 Bds - 3 Ba - 1800 ft2
Houses & Villas,1,2,Semi-Furnished,570,Ready to Move,2,600,North-East,1,"₹ 37,00,000","Chander Vihar, Delhi, Delhi",1 Bds - 2 Ba - 600 ft2
Apartments,2,2,Semi-Furnished,650,Ready to Move,4,750,East,1,"₹ 35,00,000","Dwarka Sector 8, Delhi, Delhi",2 Bds - 2 Ba - 750 ft2
Builder Floors,2,1,Semi-Furnished,540,Ready to Move,4,600,North-East,1,"₹ 27,00,000","Dwarka Mor, Delhi, Delhi",2 Bds - 1 Ba - 600 ft2
Builder Floors,1,1,Semi-Furnished,450,Ready to Move,4,500,North-West,0,"₹ 14,00,000","Dwarka Mor, Delhi, Delhi",1 Bds - 1 Ba - 500 ft2
Builder Floors,3,2,Furnished,900,Ready to Move,4,1000,East,1,"₹ 37,51,000"," Dwarka Mor, Delhi, Delhi",3 Bds - 2 Ba - 1000 ft2
Apartments,1,1,Semi-Furnished,26,Ready to Move,4,26,East,1,"₹ 12,50,000","Rohini Sector 4, Delhi, Delhi",1 Bds - 1 Ba - 26 ft2
Builder Floors,2,2,Furnished,450,Ready to Move,8,500,North-East,1,"₹ 25,50,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 500 ft2
Apartments,2,1,Unfurnished,713,Ready to Move,2,713,-,1,"₹ 86,50,000","Tagore Garden, Delhi, Delhi",2 Bds - 1 Ba - 713 ft2
Builder Floors,3,2,-,900,Ready to Move,4,1000,-,-,"₹ 85,00,000","Rohini Sector 2, Delhi, Delhi",3 Bds - 2 Ba - 1000 ft2
Builder Floors,2,1,Unfurnished,500,New Launch,-,1800,-,1,"₹ 21,00,000","Chander Vihar, Delhi, Delhi",2 Bds - 1 Ba - 1800 ft2
Apartments,3,2,Semi-Furnished,1080,Ready to Move,4,1200,West,3+,"₹ 28,00,000","Khyala, Delhi, Delhi",3 Bds - 2 Ba - 1200 ft2
Builder Floors,1,1,Furnished,50,Ready to Move,4,50,West,1,"₹ 21,50,000","Nihal Vihar, Delhi, Delhi",1 Bds - 1 Ba - 50 ft2
Builder Floors,2,2,Semi-Furnished,495,Ready to Move,8,525,East,1,"₹ 25,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 525 ft2
Builder Floors,2,2,Semi-Furnished,550,Ready to Move,4,570,East,1,"₹ 26,00,000","Hastsal, Delhi, Delhi",2 Bds - 2 Ba - 570 ft2
Builder Floors,1,1,Unfurnished,401,Ready to Move,4,450,East,0,"₹ 13,70,000","Uday Vihar, Delhi, Delhi",1 Bds - 1 Ba - 450 ft2
Builder Floors,3,2,Semi-Furnished,810,Ready to Move,4,900,South-East,1,"₹ 62,99,999","Dwarka Mor, Delhi, Delhi",3 Bds - 2 Ba - 900 ft2
Builder Floors,3,3,Semi-Furnished,1450,Ready to Move,4,1600,North-East,1,"₹ 1,50,00,000","Ramesh Nagar, Delhi, Delhi",3 Bds - 3 Ba - 1600 ft2
Builder Floors,3,3,Furnished,1150,Ready to Move,4,1250,East,2,"₹ 96,00,000","Rohini Sector 20, Delhi, Delhi",3 Bds - 3 Ba - 1250 ft2
Builder Floors,1,1,Semi-Furnished,60,Ready to Move,1,60,North-West,0,"₹ 30,00,000","Sant Garh, Delhi, Delhi",1 Bds - 1 Ba - 60 ft2
Builder Floors,2,2,Semi-Furnished,540,Ready to Move,4,570,East,1,"₹ 23,51,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 570 ft2
Builder Floors,2,2,Semi-Furnished,700,Ready to Move,3,900,North,1,"₹ 55,00,000","Tilak Nagar, Delhi, Delhi",2 Bds - 2 Ba - 900 ft2
Apartments,2,2,Semi-Furnished,500,Ready to Move,4,600,East,1,"₹ 22,00,000","Dwarka Mor, Delhi, Delhi",2 Bds - 2 Ba - 600 ft2
Builder Floors,4,4,Furnished,1350,Ready to Move,4,1441,East,1,"₹ 48,00,000","Nilothi, Delhi, Delhi",4 Bds - 4 Ba - 1441 ft2
Builder Floors,1,1,Unfurnished,32,Ready to Move,4,32,East,0,"₹ 8,00,000","Adhyapak Nagar, Delhi, Delhi",1 Bds - 1 Ba - 32 ft2
Houses & Villas,4+,-,Furnished,110,Ready to Move,4,110,East,2,"₹ 2,10,00,000","Vishnu Garden, Delhi, Delhi",-
Builder Floors,3,2,Semi-Furnished,927,Ready to Move,4,1100,East,1,"₹ 1,05,00,000","Tilak Nagar, Delhi, Delhi",3 Bds - 2 Ba - 1100 ft2
Builder Floors,2,2,Semi-Furnished,470,Ready to Move,4,500,North-East,1,"₹ 23,00,000","Dwarka Mor, Delhi, Delhi",2 Bds - 2 Ba - 500 ft2
Builder Floors,2,2,-,80,Ready to Move,4,80,East,0,"₹ 13,00,000","Nilothi, Delhi, Delhi",2 Bds - 2 Ba - 80 ft2
Builder Floors,2,2,Semi-Furnished,450,Ready to Move,4,525,East,0,"₹ 32,35,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 525 ft2
Builder Floors,3,2,Semi-Furnished,810,Ready to Move,8,900,North-East,1,"₹ 46,50,000","Dwarka Mor, Delhi, Delhi",3 Bds - 2 Ba - 900 ft2
Builder Floors,1,1,Semi-Furnished,50,Ready to Move,4,50,West,0,"₹ 11,50,000","Chander Vihar, Delhi, Delhi",1 Bds - 1 Ba - 50 ft2
Builder Floors,2,2,Semi-Furnished,630,New Launch,4,650,North-East,1,"₹ 5,00,000","Pitampura, Delhi, Delhi",2 Bds - 2 Ba - 650 ft2
-,-,-,-,-,-,-,-,-,-,"₹ 56,00,000",-,-
Houses & Villas,2,1,Unfurnished,700,-,4,800,North-East,0,"₹ 45,00,000","Vikaspuri, Delhi, Delhi",2 Bds - 1 Ba - 800 ft2
Builder Floors,3,2,Furnished,950,New Launch,4,1000,East,1,"₹ 53,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 2 Ba - 1000 ft2
Builder Floors,3,2,Semi-Furnished,900,Ready to Move,4,990,-,1,"₹ 43,00,000","Vikaspuri, Delhi, Delhi",3 Bds - 2 Ba - 990 ft2
Builder Floors,2,2,Semi-Furnished,900,Ready to Move,4,1000,North-East,1,"₹ 1,10,00,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 1000 ft2
Houses & Villas,2,1,Unfurnished,500,Ready to Move,3,500,West,0,"₹ 1,30,00,000","Raghubir Nagar, Delhi, Delhi",2 Bds - 1 Ba - 500 ft2
Builder Floors,3,2,Unfurnished,963,Ready to Move,4,963,West,1,"₹ 1,05,00,000","Shiv Nagar, Delhi, Delhi",3 Bds - 2 Ba - 963 ft2
Builder Floors,2,2,Semi-Furnished,550,Ready to Move,4,600,-,-,"₹ 25,00,000","Nawada, Delhi, Delhi",2 Bds - 2 Ba - 600 ft2
Builder Floors,3,2,Semi-Furnished,795,Ready to Move,4,825,South-East,1,"₹ 41,00,000","Nawada, Delhi, Delhi",3 Bds - 2 Ba - 825 ft2
Builder Floors,3,3,Semi-Furnished,1250,Ready to Move,3,1400,East,1,"₹ 1,10,00,000","Ramesh Nagar, Delhi, Delhi",3 Bds - 3 Ba - 1400 ft2
Builder Floors,3,2,Semi-Furnished,900,Ready to Move,4,1000,East,1,"₹ 84,95,000","Rohini Sector 4, Delhi, Delhi",3 Bds - 2 Ba - 1000 ft2
Builder Floors,3,2,Semi-Furnished,120,Ready to Move,3,120,North,0,"₹ 70,00,000","Tilak Nagar, Delhi, Delhi",3 Bds - 2 Ba - 120 ft2
Apartments,1,1,Furnished,344,Ready to Move,-,445,East,-,"₹ 23,20,000","Khyala, Delhi, Delhi",1 Bds - 1 Ba - 445 ft2
Builder Floors,3,2,Furnished,800,Ready to Move,4,850,East,1,"₹ 45,00,000","Dwarka Mor, Delhi, Delhi",3 Bds - 2 Ba - 850 ft2
Builder Floors,2,1,Semi-Furnished,600,Ready to Move,3,585,East,0,"₹ 35,00,000","Chand Nagar, Delhi, Delhi",2 Bds - 1 Ba - 585 ft2
Builder Floors,2,2,Semi-Furnished,600,Ready to Move,4,640,East,1,"₹ 28,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 640 ft2
Builder Floors,2,2,Semi-Furnished,500,Ready to Move,4,540,East,1,"₹ 21,99,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 540 ft2
Houses & Villas,4+,4,Semi-Furnished,45,Ready to Move,2,15,South-East,0,"₹ 1,10,00,000","Virendra Nagar, Delhi, Delhi",4+ Bds - 4 Ba - 15 ft2
Builder Floors,2,1,Semi-Furnished,500,Ready to Move,4,550,East,0,"₹ 17,90,000","Chander Vihar, Delhi, Delhi",2 Bds - 1 Ba - 550 ft2
Apartments,2,2,Unfurnished,720,Ready to Move,-,720,-,0,"₹ 35,00,000","Tilak Nagar, Delhi, Delhi",2 Bds - 2 Ba - 720 ft2
Houses & Villas,4+,4+,Furnished,5000,Ready to Move,2,5000,-,3+,"₹ 32,00,00,000","Punjabi Bagh West, Delhi, Delhi",4+ Bds - 4+ Ba - 5000 ft2
Builder Floors,1,1,Semi-Furnished,430,Ready to Move,4,450,East,1,"₹ 18,50,000","Nawada, Delhi, Delhi",1 Bds - 1 Ba - 450 ft2
Builder Floors,2,2,Unfurnished,764,Ready to Move,4,4902,North,1,"₹ 23,00,000","Nangloi, Delhi, Delhi",2 Bds - 2 Ba - 4902 ft2
Builder Floors,1,1,Semi-Furnished,450,Ready to Move,4,500,West,0,"₹ 20,00,000","Uttam Nagar, Delhi, Delhi",1 Bds - 1 Ba - 500 ft2
Builder Floors,2,1,Semi-Furnished,550,Ready to Move,4,500,North,0,"₹ 20,00,000","Budh Vihar, Delhi, Delhi",2 Bds - 1 Ba - 500 ft2
Builder Floors,2,1,Semi-Furnished,450,Ready to Move,-,450,-,0,"₹ 29,00,000","Vishnu Garden, Delhi, Delhi",2 Bds - 1 Ba - 450 ft2
Builder Floors,2,2,Furnished,650,Ready to Move,4,700,East,1,"₹ 27,50,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 700 ft2
Builder Floors,2,2,Semi-Furnished,900,Ready to Move,4,1000,North,1,"₹ 1,35,00,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 1000 ft2
Apartments,2,1,Semi-Furnished,400,New Launch,3,450,South-West,0,"₹ 35,00,000","Khyala, Delhi, Delhi",2 Bds - 1 Ba - 450 ft2
Builder Floors,3,3,Semi-Furnished,950,Ready to Move,4,1000,North-East,1,"₹ 1,80,00,000","Ramesh Nagar, Delhi, Delhi",3 Bds - 3 Ba - 1000 ft2
Apartments,3,2,Semi-Furnished,1440,Ready to Move,4,1440,East,-,"₹ 1,26,00,000","Rajouri Garden, Delhi, Delhi",3 Bds - 2 Ba - 1440 ft2
Builder Floors,2,1,Unfurnished,475,Ready to Move,4,450,East,0,"₹ 16,50,000","Gopal Vihar, Delhi, Delhi",2 Bds - 1 Ba - 450 ft2
Builder Floors,4,4,Semi-Furnished,1250,Ready to Move,4,1400,East,1,"₹ 95,11,000","Budh Vihar, Delhi, Delhi",4 Bds - 4 Ba - 1400 ft2
Houses & Villas,2,1,Unfurnished,250,Ready to Move,2,250,East,-,"₹ 16,50,000","Aman Vihar, Delhi, Delhi",2 Bds - 1 Ba - 250 ft2
Builder Floors,1,1,Furnished,356,Ready to Move,4,356,West,-,"₹ 30,00,000","Virendra Nagar, Delhi, Delhi",1 Bds - 1 Ba - 356 ft2
Builder Floors,4,3,Semi-Furnished,1330,Ready to Move,4,1350,East,1,"₹ 70,00,000","Dwarka Mor, Delhi, Delhi",4 Bds - 3 Ba - 1350 ft2
Houses & Villas,2,2,Unfurnished,0,Ready to Move,2,225,West,0,"₹ 26,00,000","Kanwar Singh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 225 ft2
Apartments,2,1,Furnished,542,Ready to Move,3,665,East,-,"₹ 14,85,000","Sudarshan Park, Delhi, Delhi",2 Bds - 1 Ba - 665 ft2
Builder Floors,2,2,Semi-Furnished,900,Ready to Move,4,1000,North-East,1,"₹ 1,28,00,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 1000 ft2
Builder Floors,3,2,Semi-Furnished,100,Ready to Move,4,100,South-East,1,"₹ 1,20,00,000","Usha Park, Delhi, Delhi",3 Bds - 2 Ba - 100 ft2
Builder Floors,2,1,Furnished,500,Ready to Move,3,500,West,0,"₹ 28,00,000","Sudarshan Park, Delhi, Delhi",2 Bds - 1 Ba - 500 ft2
Builder Floors,1,1,Semi-Furnished,450,Ready to Move,4,500,West,0,"₹ 20,00,000","Uttam Nagar, Delhi, Delhi",1 Bds - 1 Ba - 500 ft2
Builder Floors,1,1,Semi-Furnished,400,Ready to Move,4,450,North-East,0,"₹ 19,00,000","Uttam Nagar, Delhi, Delhi",1 Bds - 1 Ba - 450 ft2
Builder Floors,2,2,Furnished,200,Ready to Move,4,200,South-East,1,"₹ 20,00,000","Nihal Vihar, Delhi, Delhi",2 Bds - 2 Ba - 200 ft2
Builder Floors,3,2,Semi-Furnished,730,Ready to Move,4,750,East,0,"₹ 29,49,000","Uttam Nagar, Delhi, Delhi",3 Bds - 2 Ba - 750 ft2
Builder Floors,1,1,Unfurnished,60,Ready to Move,3,60,East,1,"₹ 16,000","Fateh Nagar, Delhi, Delhi",1 Bds - 1 Ba - 60 ft2
Builder Floors,3,2,Semi-Furnished,700,Ready to Move,4,750,North-West,1,"₹ 47,00,000","Dwarka Mor, Delhi, Delhi",3 Bds - 2 Ba - 750 ft2
Builder Floors,1,2,Semi-Furnished,473,Ready to Move,4,473,East,1,"₹ 35,00,000","Sudarshan Park, Delhi, Delhi",1 Bds - 2 Ba - 473 ft2
Houses & Villas,3,3,Unfurnished,225,Ready to Move,2,225,North-East,0,"₹ 35,00,000","Hari Enclave, Delhi, Delhi",3 Bds - 3 Ba - 225 ft2
Apartments,4,3,Semi-Furnished,1350,Ready to Move,-,1400,-,-,"₹ 90,00,000","Uttam Nagar, Delhi, Delhi",4 Bds - 3 Ba - 1400 ft2
Houses & Villas,2,2,Unfurnished,50,Ready to Move,1,50,North-East,0,"₹ 25,00,000","Pratap Vihar, Delhi, Delhi",2 Bds - 2 Ba - 50 ft2
Apartments,2,2,Semi-Furnished,800,Ready to Move,4,850,East,1,"₹ 30,00,000","Dwarka Mor, Delhi, Delhi",2 Bds - 2 Ba - 850 ft2
Builder Floors,3,2,Semi-Furnished,720,Ready to Move,4,750,East,1,"₹ 39,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 2 Ba - 750 ft2
Houses & Villas,3,4,Semi-Furnished,32,New Launch,4,38,East,0,"₹ 42,00,000","Nihal Vihar, Delhi, Delhi",3 Bds - 4 Ba - 38 ft2
Builder Floors,1,-,Semi-Furnished,500,Ready to Move,0,450,East,0,"₹ 12,50,000","Chander Vihar, Delhi, Delhi",-
Builder Floors,2,2,Semi-Furnished,850,Ready to Move,4,900,East,0,"₹ 29,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 900 ft2
Builder Floors,2,2,Semi-Furnished,350,Ready to Move,4,400,East,0,"₹ 30,00,000","Rohini Sector 4, Delhi, Delhi",2 Bds - 2 Ba - 400 ft2
Houses & Villas,4+,3,Furnished,540,Ready to Move,3,540,North,1,"₹ 81,00,000","Chander Vihar, Delhi, Delhi",4+ Bds - 3 Ba - 540 ft2
Builder Floors,3,2,Semi-Furnished,900,Ready to Move,1,900,East,-,"₹ 55,00,000","Hastsal, Delhi, Delhi",3 Bds - 2 Ba - 900 ft2
Builder Floors,2,2,Unfurnished,15,Ready to Move,3,25,East,0,"₹ 11,00,000","Pratap Vihar, Delhi, Delhi",2 Bds - 2 Ba - 25 ft2
Builder Floors,2,1,Unfurnished,40,New Launch,1,40,West,1,"₹ 17,00,000","Tihar, Delhi, Delhi",2 Bds - 1 Ba - 40 ft2
Builder Floors,3,2,Unfurnished,900,New Launch,4,900,East,1,"₹ 1,10,00,000","Shiv Nagar, Delhi, Delhi",3 Bds - 2 Ba - 900 ft2
Apartments,2,2,Semi-Furnished,550,Ready to Move,4,650,North-East,0,"₹ 24,99,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 650 ft2
Houses & Villas,2,2,Unfurnished,250,Ready to Move,-,25,West,0,"₹ 33,00,000","Sultanpuri, Delhi, Delhi",2 Bds - 2 Ba - 25 ft2
Builder Floors,2,1,Semi-Furnished,500,Ready to Move,4,500,East,-,"₹ 30,00,000","Vishnu Garden, Delhi, Delhi",2 Bds - 1 Ba - 500 ft2
Houses & Villas,4,4,Unfurnished,500,Ready to Move,2,500,South-West,1,"₹ 41,99,999","Aman Vihar, Delhi, Delhi",4 Bds - 4 Ba - 500 ft2
Builder Floors,2,2,Semi-Furnished,900,Ready to Move,3,1000,North-East,1,"₹ 1,15,00,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 1000 ft2
Apartments,2,1,Semi-Furnished,325,Ready to Move,3,325,East,0,"₹ 29,95,000","Rohini Sector 3, Delhi, Delhi",2 Bds - 1 Ba - 325 ft2
Houses & Villas,1,1,Unfurnished,450,Under Construction,1,450,-,-,"₹ 35,00,000","Vishnu Garden, Delhi, Delhi",1 Bds - 1 Ba - 450 ft2
Builder Floors,2,2,Semi-Furnished,540,Ready to Move,4,570,East,1,"₹ 27,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 570 ft2
Houses & Villas,3,2,Semi-Furnished,110,Ready to Move,5,110086,East,0,"₹ 33,00,000","Budh Vihar, Delhi, Delhi",3 Bds - 2 Ba - 110086 ft2
Builder Floors,3,2,Semi-Furnished,750,Ready to Move,4,800,East,1,"₹ 43,51,000","Uttam Nagar, Delhi, Delhi",3 Bds - 2 Ba - 800 ft2
Builder Floors,2,1,Unfurnished,0,Ready to Move,4,0,North-West,0,"₹ 32,00,000","Sant Garh, Delhi, Delhi",2 Bds - 1 Ba - 0 ft2
Houses & Villas,2,1,Semi-Furnished,105,Ready to Move,4,100,South-East,0,"₹ 25,00,000","Tilak Nagar, Delhi, Delhi",2 Bds - 1 Ba - 100 ft2
Builder Floors,1,2,Furnished,350,Ready to Move,3,400,-,1,"₹ 11,000","Tilak Nagar, Delhi, Delhi",1 Bds - 2 Ba - 400 ft2
Builder Floors,2,2,Semi-Furnished,540,Ready to Move,4,585,East,-,"₹ 34,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 585 ft2
Builder Floors,1,1,Unfurnished,223,Ready to Move,1,223,East,1,"₹ 6,00,000","Chander Vihar, Delhi, Delhi",1 Bds - 1 Ba - 223 ft2
Builder Floors,2,2,Furnished,730,Ready to Move,4,750,East,1,"₹ 29,50,000","Nawada, Delhi, Delhi",2 Bds - 2 Ba - 750 ft2
Houses & Villas,4,2,Unfurnished,1350,Ready to Move,2,675,East,0,"₹ 75,00,000","Nangloi, Delhi, Delhi",4 Bds - 2 Ba - 675 ft2
Builder Floors,1,1,Semi-Furnished,360,Ready to Move,4,400,East,0,"₹ 19,99,000","Nawada, Delhi, Delhi",1 Bds - 1 Ba - 400 ft2
Builder Floors,1,1,Semi-Furnished,450,Ready to Move,4,500,West,0,"₹ 18,00,000","Uttam Nagar, Delhi, Delhi",1 Bds - 1 Ba - 500 ft2
Builder Floors,2,2,Semi-Furnished,770,Ready to Move,4,855,West,1,"₹ 45,99,999","Vishnu Garden, Delhi, Delhi",2 Bds - 2 Ba - 855 ft2
Builder Floors,1,1,Unfurnished,215,Ready to Move,4,225,North-East,0,"₹ 7,00,000","Budh Vihar, Delhi, Delhi",1 Bds - 1 Ba - 225 ft2
Builder Floors,2,2,Semi-Furnished,450,Ready to Move,4,495,-,1,"₹ 22,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 495 ft2
Builder Floors,2,1,Unfurnished,450,Ready to Move,4,450,South-West,0,"₹ 13,00,000","Nangloi, Delhi, Delhi",2 Bds - 1 Ba - 450 ft2
Builder Floors,2,2,Semi-Furnished,500,Ready to Move,4,500,South-East,0,"₹ 23,00,000","Budh Vihar, Delhi, Delhi",2 Bds - 2 Ba - 500 ft2
Builder Floors,2,2,Semi-Furnished,500,Ready to Move,4,540,East,1,"₹ 25,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 540 ft2
Builder Floors,2,2,Semi-Furnished,550,Ready to Move,4,560,North-West,1,"₹ 28,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 560 ft2
Builder Floors,3,2,Semi-Furnished,900,Ready to Move,4,950,East,1,"₹ 72,00,000","Janakpuri, Delhi, Delhi",3 Bds - 2 Ba - 950 ft2
Builder Floors,3,2,Semi-Furnished,850,Ready to Move,4,900,East,1,"₹ 55,00,000","Dwarka Mor, Delhi, Delhi",3 Bds - 2 Ba - 900 ft2
