Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,1,1,Furnished,331,Ready to Move,-,441,East,-,"₹ 35,00,000","Dwarka, Delhi, Delhi",1 Bds - 1 Ba - 441 ft2
Builder Floors,2,2,Semi-Furnished,450,Ready to Move,4,500,-,-,"₹ 55,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 500 ft2
Houses & Villas,2,1,Semi-Furnished,450,Ready to Move,4,450,East,0,"₹ 1,10,00,000","Khyala, Delhi, Delhi",2 Bds - 1 Ba - 450 ft2
Builder Floors,2,2,Semi-Furnished,290,Ready to Move,4,300,North-East,1,"₹ 98,50,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 300 ft2
Builder Floors,3,2,Semi-Furnished,900,Ready to Move,4,1000,West,1,"₹ 34,99,999","Matiala, Delhi, Delhi",3 Bds - 2 Ba - 1000 ft2
Builder Floors,3,3,Semi-Furnished,850,Ready to Move,4,900,West,1,"₹ 70,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 3 Ba - 900 ft2
Builder Floors,2,2,Semi-Furnished,640,Ready to Move,4,645,North,0,"₹ 25,00,000","Hastsal, Delhi, Delhi",2 Bds - 2 Ba - 645 ft2
Builder Floors,2,2,Semi-Furnished,540,Ready to Move,8,600,North-East,1,"₹ 27,51,000","Dwarka Mor, Delhi, Delhi",2 Bds - 2 Ba - 600 ft2
Builder Floors,3,3,Semi-Furnished,750,Ready to Move,4,800,West,1,"₹ 46,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 3 Ba - 800 ft2
Builder Floors,2,2,Unfurnished,900,Ready to Move,3,940,South,1,"₹ 65,00,000","Ashok Nagar, Delhi, Delhi",2 Bds - 2 Ba - 940 ft2
Builder Floors,3,3,Semi-Furnished,1800,Under Construction,4,1900,West,2,"₹ 3,70,00,000","Bhera Enclave, Delhi, Delhi",3 Bds - 3 Ba - 1900 ft2
