Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,3,3,Furnished,1458,Ready to Move,5,1827,East,1,"₹ 1,25,00,000","Paldi, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1827 ft2
Builder Floors,1,1,Unfurnished,504,Ready to Move,2,504,North,0,"₹ 13,00,000","Khadia, Ahmedabad, Gujarat",1 Bds - 1 Ba - 504 ft2
Houses & Villas,2,1,Unfurnished,400,Ready to Move,2,400,-,1,"₹ 17,00,000","Tulsi Nagar, Ahmedabad, Gujarat",2 Bds - 1 Ba - 400 ft2
Apartments,4,4,Semi-Furnished,1575,Ready to Move,10,1800,North-East,1,"₹ 1,10,00,000","Ambavadi, Ahmedabad, Gujarat",4 Bds - 4 Ba - 1800 ft2
Houses & Villas,4+,4+,Unfurnished,4758,Ready to Move,3,5598,East,1,"₹ 5,51,00,000","Ambavadi, Ahmedabad, Gujarat",4+ Bds - 4+ Ba - 5598 ft2
Apartments,3,3,Unfurnished,820,Ready to Move,13,1840,East,1,"₹ 68,00,000","Zundal, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1840 ft2
Apartments,4,4,Furnished,3000,Under Construction,14,4400,West,2,"₹ 1,98,00,000","Jagatpur Village, Ahmedabad, Gujarat",4 Bds - 4 Ba - 4400 ft2
Apartments,1,1,Unfurnished,115,Ready to Move,7,118,North-West,2,"₹ 34,00,000","Ranip, Ahmedabad, Gujarat",1 Bds - 1 Ba - 118 ft2
Apartments,4,4,Semi-Furnished,148,Ready to Move,1,255,North,3+,"₹ 1,65,00,000","Dudheshwar, Ahmedabad, Gujarat",4 Bds - 4 Ba - 255 ft2
Apartments,3,2,Furnished,128,Ready to Move,4,128,East,1,"₹ 1,10,00,000","Paldi, Ahmedabad, Gujarat",3 Bds - 2 Ba - 128 ft2
Apartments,3,3,Semi-Furnished,1170,Ready to Move,9,1386,South,1,"₹ 65,00,000","Vasna, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1386 ft2
Houses & Villas,4+,4+,Unfurnished,5850,Ready to Move,1,5850,North,1,"₹ 1,90,00,000","Gheekanta, Ahmedabad, Gujarat",4+ Bds - 4+ Ba - 5850 ft2
Apartments,4,2,Semi-Furnished,150,Ready to Move,2,250,-,0,"₹ 90,00,000","Dhobighat, Ahmedabad, Gujarat",4 Bds - 2 Ba - 250 ft2
Houses & Villas,4+,4,Semi-Furnished,2673,Ready to Move,1,3150,East,1,"₹ 5,40,00,000","Ambavadi, Ahmedabad, Gujarat",4+ Bds - 4 Ba - 3150 ft2
Apartments,1,1,Semi-Furnished,75,Ready to Move,4,75,East,1,"₹ 15,00,000","Ghodasar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 75 ft2
Houses & Villas,4+,4,Semi-Furnished,4203,Ready to Move,1,4950,West,1,"₹ 4,50,00,000","Paldi, Ahmedabad, Gujarat",4+ Bds - 4 Ba - 4950 ft2
Apartments,3,3,Unfurnished,1114,Under Construction,13,2025,North-East,1,"₹ 1,43,77,500","Panjara Pol, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2025 ft2
Apartments,2,2,Semi-Furnished,110,Ready to Move,10,110,East,0,"₹ 41,00,000","Mani Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 110 ft2
Houses & Villas,4,3,Semi-Furnished,800,Ready to Move,3,80,East,0,"₹ 49,00,000","Khanpur, Ahmedabad, Gujarat",4 Bds - 3 Ba - 80 ft2
Apartments,3,2,Furnished,1600,Ready to Move,5,1600,North-East,2,"₹ 10,000","Ambavadi, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1600 ft2
Houses & Villas,3,2,Unfurnished,510,Ready to Move,1,512,-,0,"₹ 26,00,000","Bapu Nagar, Ahmedabad, Gujarat",3 Bds - 2 Ba - 512 ft2
Apartments,3,3,Furnished,1100,Ready to Move,14,1650,North-East,1,"₹ 95,00,000","Naranpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1650 ft2
Houses & Villas,4+,2,Unfurnished,1500,Ready to Move,3,85,West,1,"₹ 75,00,000","Asarwa, Ahmedabad, Gujarat",4+ Bds - 2 Ba - 85 ft2
Apartments,2,2,Unfurnished,950,Ready to Move,3,1152,-,1,"₹ 54,00,000","Kankaria, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1152 ft2
Apartments,4,3,Semi-Furnished,0,Ready to Move,7,2097,North,1,"₹ 1,45,00,000","Navrangpura, Ahmedabad, Gujarat",4 Bds - 3 Ba - 2097 ft2
Apartments,3,2,Unfurnished,900,Ready to Move,7,1350,North-East,1,"₹ 60,00,000","Motera, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1350 ft2
Apartments,2,2,Semi-Furnished,810,Ready to Move,4,90,West,0,"₹ 50,00,000","Nava Vadaj, Ahmedabad, Gujarat",2 Bds - 2 Ba - 90 ft2
Apartments,1,1,Unfurnished,950,Ready to Move,2,1100,East,-,"₹ 37,00,000","Naranpura, Ahmedabad, Gujarat",1 Bds - 1 Ba - 1100 ft2
Houses & Villas,1,1,Semi-Furnished,270,Ready to Move,2,310,-,-,"₹ 11,51,000","Thakkarbapu Nagar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 310 ft2
Houses & Villas,1,1,Unfurnished,40,Ready to Move,-,40,-,1,"₹ 18,00,000","Bapu Nagar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 40 ft2
Houses & Villas,2,2,Furnished,850,Ready to Move,0,1100,North-East,2,"₹ 1,49,00,000","Shahibag, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1100 ft2
Apartments,3,3,Unfurnished,1155,Ready to Move,11,1863,East,1,"₹ 1,05,00,000","Gota, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1863 ft2
