Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Apartments,2,1,Furnished,00,Ready to Move,4,00,South-East,1,"₹ 42,00,000","Nirnay Nagar, Ahmedabad, Gujarat",2 Bds - 1 Ba - 00 ft2
Apartments,2,2,Unfurnished,567,Ready to Move,7,1242,East,1,"₹ 60,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1242 ft2
Apartments,3,3,Furnished,2020,Ready to Move,-,2020,-,-,"₹ 1,03,00,000","Navrangpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2020 ft2
Builder Floors,3,2,Unfurnished,110,Ready to Move,7,110,North-West,1,"₹ 47,00,000","Behrampura, Ahmedabad, Gujarat",3 Bds - 2 Ba - 110 ft2
Apartments,3,3,Furnished,1280,Ready to Move,7,1935,-,1,"₹ 1,52,00,000","Navrangpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1935 ft2
Apartments,3,2,Unfurnished,215,Ready to Move,13,1935,North-East,1,"₹ 87,00,000","Chandkheda, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1935 ft2
Houses & Villas,4,3,Semi-Furnished,1215,Ready to Move,2,2025,-,-,"₹ 1,42,00,000","Vatva, Ahmedabad, Gujarat",4 Bds - 3 Ba - 2025 ft2
Apartments,2,2,Semi-Furnished,135,Ready to Move,10,1215,North-East,-,"₹ 56,00,000","Motera, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1215 ft2
-,-,-,-,-,-,-,-,-,-,"₹ 2,29,50,000",-,-
Apartments,3,2,Unfurnished,97,Ready to Move,9,905,North-East,1,"₹ 65,00,000","Chandkheda, Ahmedabad, Gujarat",3 Bds - 2 Ba - 905 ft2
Houses & Villas,4+,4+,Semi-Furnished,3000,Ready to Move,3,3500,North-East,3,"₹ 1,10,00,000","Nava Vadaj, Ahmedabad, Gujarat",4+ Bds - 4+ Ba - 3500 ft2
Houses & Villas,4,2,Unfurnished,400,Ready to Move,2,400,North,1,"₹ 59,00,000","Ranip, Ahmedabad, Gujarat",4 Bds - 2 Ba - 400 ft2
Apartments,2,2,Furnished,720,Ready to Move,7,738,South-East,1,"₹ 22,00,000","Vatva, Ahmedabad, Gujarat",2 Bds - 2 Ba - 738 ft2
Apartments,1,1,Unfurnished,54,Ready to Move,4,49,North-East,0,"₹ 4,00,000","Naroda, Ahmedabad, Gujarat",1 Bds - 1 Ba - 49 ft2
Apartments,2,2,Unfurnished,577,Under Construction,14,1100,East,1,"₹ 46,00,000","Jagatpur, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1100 ft2
Apartments,2,2,Unfurnished,1200,Ready to Move,2,1400,North-East,-,"₹ 58,00,000","Naranpura, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1400 ft2
Houses & Villas,4+,2,Unfurnished,2253,Ready to Move,1,2700,East,1,"₹ 3,50,00,000","Paldi, Ahmedabad, Gujarat",4+ Bds - 2 Ba - 2700 ft2
Apartments,2,2,Furnished,800,Ready to Move,7,1200,East,1,"₹ 52,00,000","Chandlodia, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1200 ft2
Apartments,1,1,Semi-Furnished,612,Ready to Move,4,720,East,1,"₹ 23,51,000","Ranip, Ahmedabad, Gujarat",1 Bds - 1 Ba - 720 ft2
Houses & Villas,2,2,Unfurnished,1550,Ready to Move,1,2000,North,1,"₹ 1,00,00,000","Sabarmati, Ahmedabad, Gujarat",2 Bds - 2 Ba - 2000 ft2
Apartments,2,2,Semi-Furnished,900,Ready to Move,4,1170,East,1,"₹ 63,00,000","Shahibag, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1170 ft2
Apartments,3,3,Furnished,1210,Ready to Move,7,1825,North-East,1,"₹ 1,19,99,999","Chandkheda, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1825 ft2
Apartments,3,3,Unfurnished,1100,Under Construction,14,1850,East,1,"₹ 1,00,00,000","Akhbar Nagar, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1850 ft2
Apartments,2,2,Unfurnished,604,Ready to Move,13,1010,-,1,"₹ 62,21,000","Paldi, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1010 ft2
Apartments,3,2,Furnished,1560,Ready to Move,4,1560,South-East,2,"₹ 10,000","Ashram Road, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1560 ft2
Apartments,1,1,Semi-Furnished,89,Ready to Move,4,89,North-East,1,"₹ 22,50,000","D Colony, Ahmedabad, Gujarat",1 Bds - 1 Ba - 89 ft2
Apartments,3,2,Furnished,240,Ready to Move,10,2160,North-East,1,"₹ 1,75,00,000","Gota, Ahmedabad, Gujarat",3 Bds - 2 Ba - 2160 ft2
Houses & Villas,4+,4,Furnished,1800,Ready to Move,3,2520,East,1,"₹ 2,40,00,000","Ambavadi, Ahmedabad, Gujarat",4+ Bds - 4 Ba - 2520 ft2
Houses & Villas,3,3,Semi-Furnished,12151,Ready to Move,2,1150,East,1,"₹ 1,35,00,000","Memnagar, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1150 ft2
Apartments,3,2,Unfurnished,1000,Ready to Move,14,1350,-,-,"₹ 61,00,000","Naranpura, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1350 ft2
Apartments,4,3,Semi-Furnished,95,Ready to Move,14,120,North,1,"₹ 97,00,000","Naranpura, Ahmedabad, Gujarat",4 Bds - 3 Ba - 120 ft2
Farm Houses,3,2,Unfurnished,1200,Ready to Move,-,1200,North-West,-,"₹ 30,00,000","Gomtipur Village, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1200 ft2
Houses & Villas,2,2,Unfurnished,708,Ready to Move,-,708,East,-,"₹ 23,50,000","Bapu Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 708 ft2
Houses & Villas,4+,3,Semi-Furnished,2979,Ready to Move,2,5400,East,1,"₹ 3,61,00,000","Usmanpura, Ahmedabad, Gujarat",4+ Bds - 3 Ba - 5400 ft2
Apartments,2,2,Semi-Furnished,777,Ready to Move,7,1295,East,1,"₹ 81,00,000","Paldi, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1295 ft2
Houses & Villas,4,4,Furnished,202,Ready to Move,1,1818,North-East,1,"₹ 5,30,00,000","Thaltej, Ahmedabad, Gujarat",4 Bds - 4 Ba - 1818 ft2
Houses & Villas,1,1,Unfurnished,399,Ready to Move,-,533,-,-,"₹ 14,50,000","Vastral, Ahmedabad, Gujarat",1 Bds - 1 Ba - 533 ft2
Apartments,2,2,Furnished,142,Ready to Move,10,1278,North-East,1,"₹ 57,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1278 ft2
Houses & Villas,1,1,Semi-Furnished,90,Ready to Move,1,90,West,1,"₹ 70,00,000","Chandkheda, Ahmedabad, Gujarat",1 Bds - 1 Ba - 90 ft2
Houses & Villas,3,3,Furnished,48,Ready to Move,3,120,North-East,-,"₹ 75,00,000","Danilimda, Ahmedabad, Gujarat",3 Bds - 3 Ba - 120 ft2
Apartments,2,1,Unfurnished,1080,Ready to Move,4,1080,South,-,"₹ 23,00,000","Saijpur Bogha, Ahmedabad, Gujarat",2 Bds - 1 Ba - 1080 ft2
Houses & Villas,4+,4,Furnished,2250,Ready to Move,1,2574,East,1,"₹ 3,50,00,000","Paldi, Ahmedabad, Gujarat",4+ Bds - 4 Ba - 2574 ft2
Apartments,2,2,Unfurnished,110,Ready to Move,4,120,West,1,"₹ 35,00,000","Navrangpura, Ahmedabad, Gujarat",2 Bds - 2 Ba - 120 ft2
Apartments,3,2,-,200,Ready to Move,10,1800,North-East,1,"₹ 1,90,00,000","Motera, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1800 ft2
Houses & Villas,2,2,Furnished,1300,Ready to Move,2,600,East,1,"₹ 80,00,000","Vastral, Ahmedabad, Gujarat",2 Bds - 2 Ba - 600 ft2
Apartments,3,3,Semi-Furnished,1620,Ready to Move,7,2493,East,1,"₹ 1,85,00,000","Navrangpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2493 ft2
Apartments,1,1,Unfurnished,8,Ready to Move,1,8,West,0,"₹ 7,00,000","Shahpur, Ahmedabad, Gujarat",1 Bds - 1 Ba - 8 ft2
Houses & Villas,4,4+,Semi-Furnished,2500,Ready to Move,2,2400,East,3+,"₹ 95,00,000","Bapu Nagar, Ahmedabad, Gujarat",4 Bds - 4+ Ba - 2400 ft2
Apartments,2,1,Furnished,810,Ready to Move,3,810,East,1,"₹ 48,50,000","Keshav Nagar, Ahmedabad, Gujarat",2 Bds - 1 Ba - 810 ft2
Apartments,3,3,Semi-Furnished,1200,Ready to Move,10,1950,North-East,1,"₹ 95,00,000","Motera, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1950 ft2
Houses & Villas,4,4+,Semi-Furnished,2835,Ready to Move,3,2835,-,-,"₹ 1,30,00,000","Vastral, Ahmedabad, Gujarat",4 Bds - 4+ Ba - 2835 ft2
Houses & Villas,2,2,Furnished,1800,Ready to Move,1,1800,West,2,"₹ 1,11,00,000","Bapu Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1800 ft2
Apartments,2,2,Furnished,900,Ready to Move,5,900,-,-,"₹ 48,00,000","Usmanpura, Ahmedabad, Gujarat",2 Bds - 2 Ba - 900 ft2
Apartments,2,2,Furnished,800,Ready to Move,5,1000,-,1,"₹ 17,00,000","Narol Village, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1000 ft2
Apartments,2,2,Semi-Furnished,918,Ready to Move,11,1080,North,1,"₹ 50,00,000","Ambavadi, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1080 ft2
Apartments,2,2,Furnished,1026,Ready to Move,2,1215,North-East,1,"₹ 63,00,000","Ambavadi, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1215 ft2
Apartments,2,2,Furnished,841,Ready to Move,5,990,North-East,-,"₹ 46,50,000","Nirnay Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 990 ft2
Houses & Villas,3,1,Semi-Furnished,2790,Ready to Move,01,2790,North-East,2,"₹ 3,10,00,000","Paldi  Village, Ahmedabad Ahmedabad, Gujarat",3 Bds - 1 Ba - 2790 ft2
Apartments,2,2,Semi-Furnished,960,Ready to Move,14,1080,East,1,"₹ 25,50,000","Narol, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1080 ft2
Builder Floors,1,1,Unfurnished,360,Ready to Move,7,740,East,1,"₹ 16,00,000","Vinzol, Ahmedabad, Gujarat",1 Bds - 1 Ba - 740 ft2
Apartments,3,3,Unfurnished,972,Under Construction,14,1737,East,1,"₹ 66,00,000","Jagatpur, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1737 ft2
Apartments,2,2,Semi-Furnished,800,Ready to Move,4,1000,East,1,"₹ 62,00,000","Keshav Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1000 ft2
Apartments,2,2,Furnished,980,Ready to Move,5,1710,North,1,"₹ 75,00,000","Nikol, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1710 ft2
Apartments,3,3,Unfurnished,865,Ready to Move,12,1800,East,1,"₹ 69,00,000","Zundal, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1800 ft2
Houses & Villas,4+,4+,Furnished,5049,Ready to Move,-,6000,-,-,"₹ 8,00,00,000","Navrangpura, Ahmedabad, Gujarat",4+ Bds - 4+ Ba - 6000 ft2
Apartments,2,2,Unfurnished,995,Ready to Move,9,1095,North-East,1,"₹ 30,00,000","Nikol, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1095 ft2
Apartments,3,3,Furnished,1575,Ready to Move,-,1575,-,-,"₹ 70,00,000","Shilaj, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1575 ft2
Apartments,2,2,Furnished,1134,Ready to Move,5,1134,East,1,"₹ 40,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1134 ft2
Apartments,2,2,Furnished,85,Ready to Move,14,119,North-East,1,"₹ 48,51,000","Ranip, Ahmedabad, Gujarat",2 Bds - 2 Ba - 119 ft2
Apartments,2,2,Semi-Furnished,95,Ready to Move,4,110,East,1,"₹ 28,00,000","Bapu Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 110 ft2
Apartments,3,3,Unfurnished,860,Under Construction,12,1836,East,1,"₹ 64,00,000","Nana Chiloda, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1836 ft2
Apartments,1,1,Furnished,75,Ready to Move,4,75,-,0,"₹ 16,00,000","Jasoda Nagar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 75 ft2
Apartments,2,2,Furnished,1200,Ready to Move,4,1200,South,2,"₹ 10,000","Ashram Road, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1200 ft2
Apartments,2,2,Unfurnished,550,Ready to Move,5,652,North-West,1,"₹ 43,50,000","132 Feet Ring Road, Ahmedabad, Gujarat",2 Bds - 2 Ba - 652 ft2
Apartments,3,3,Furnished,1350,Ready to Move,10,1500,-,1,"₹ 87,00,000","Jodhpur, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1500 ft2
Apartments,2,1,Semi-Furnished,1000,Ready to Move,2,1200,-,3+,"₹ 31,50,000","Bapu Nagar, Ahmedabad, Gujarat",2 Bds - 1 Ba - 1200 ft2
Apartments,2,3,Semi-Furnished,1100,Ready to Move,2,1080,East,0,"₹ 23,50,000","Megani Nagar, Ahmedabad, Gujarat",2 Bds - 3 Ba - 1080 ft2
Apartments,3,2,Unfurnished,183,Ready to Move,10,1647,North-East,1,"₹ 77,00,000","Jagatpur, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1647 ft2
Apartments,2,2,Semi-Furnished,950,Ready to Move,10,1400,North-East,1,"₹ 65,00,000","Motera, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1400 ft2
Apartments,2,2,Furnished,650,Ready to Move,7,1161,West,1,"₹ 45,00,000","Vastral, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1161 ft2
Houses & Villas,4+,4+,Unfurnished,850,Ready to Move,3,1000,East,1,"₹ 9,95,00,000","Ambavadi, Ahmedabad, Gujarat",4+ Bds - 4+ Ba - 1000 ft2
Apartments,2,2,Semi-Furnished,1050,Ready to Move,2,1250,East,-,"₹ 55,00,000","Naranpura, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1250 ft2
Apartments,2,2,Semi-Furnished,855,Ready to Move,8,1200,North-East,1,"₹ 68,00,000","Sabarmati, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1200 ft2
Houses & Villas,2,1,Furnished,361,Ready to Move,2,361,North,0,"₹ 28,50,000","Bapu Nagar, Ahmedabad, Gujarat",2 Bds - 1 Ba - 361 ft2
Houses & Villas,3,3,Semi-Furnished,1850,Ready to Move,2,2840,East,1,"₹ 1,30,00,000","Motera, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2840 ft2
Apartments,1,1,Semi-Furnished,1200,Ready to Move,4,65,East,1,"₹ 12,99,999","Bapu Nagar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 65 ft2
Apartments,2,2,Semi-Furnished,873,Ready to Move,4,1035,East,1,"₹ 60,00,000","Paldi, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1035 ft2
Apartments,2,2,Furnished,600,Ready to Move,4,665,-,1,"₹ 55,65,000","Ashram Road, Ahmedabad, Gujarat",2 Bds - 2 Ba - 665 ft2
Houses & Villas,1,1,Unfurnished,26,Ready to Move,2,26,East,0,"₹ 8,50,000","Shahpur, Ahmedabad, Gujarat",1 Bds - 1 Ba - 26 ft2
Houses & Villas,2,2,Furnished,40,Ready to Move,2,27,South,1,"₹ 18,99,999","Jay Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 27 ft2
Apartments,2,1,Furnished,915,Ready to Move,4,915,South-East,-,"₹ 48,00,000","Kankaria, Ahmedabad, Gujarat",2 Bds - 1 Ba - 915 ft2
Apartments,3,2,Furnished,1687,Ready to Move,5,1687,South-East,2,"₹ 10,000","Ashram Road, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1687 ft2
Houses & Villas,1,1,Furnished,630,Ready to Move,2,630,-,0,"₹ 45,00,000","Behrampur, Ahmedabad, Gujarat",1 Bds - 1 Ba - 630 ft2
Apartments,3,3,Unfurnished,1143,Ready to Move,7,1944,East,1,"₹ 1,30,00,000","Paldi, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1944 ft2
Apartments,3,3,Furnished,1620,Ready to Move,9,1620,East,0,"₹ 80,00,000","Navrangpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1620 ft2
Apartments,2,2,Semi-Furnished,950,Ready to Move,3,1000,North,3+,"₹ 40,00,000","Ranip, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1000 ft2
Apartments,3,3,Furnished,1180,Ready to Move,13,2380,West,2,"₹ 1,55,00,000","Gota, Ahmedabad, Gujarat",3 Bds - 3 Ba - 2380 ft2
Apartments,4,4,Furnished,3525,Ready to Move,-,4000,-,-,"₹ 2,80,00,000","Navrangpura, Ahmedabad, Gujarat",4 Bds - 4 Ba - 4000 ft2
Houses & Villas,3,3,Semi-Furnished,1105,Ready to Move,1,1305,North,1,"₹ 1,50,00,000","Chandkheda, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1305 ft2
Apartments,1,1,Furnished,504,Ready to Move,3,706,East,0,"₹ 36,21,000","Keshav Nagar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 706 ft2
Houses & Villas,2,1,Unfurnished,1680,Ready to Move,2,1500,South-East,1,"₹ 20,00,000","Dariapur, Ahmedabad, Gujarat",2 Bds - 1 Ba - 1500 ft2
Apartments,1,1,Unfurnished,77,Ready to Move,2,85,North-West,0,"₹ 90,00,000","Shahpur, Ahmedabad, Gujarat",1 Bds - 1 Ba - 85 ft2
Apartments,3,3,Furnished,1440,Ready to Move,4,1800,West,1,"₹ 1,00,00,000","Naranpura, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1800 ft2
Apartments,3,3,Furnished,1741,Ready to Move,7,1935,North,1,"₹ 1,10,00,000","Chandkheda, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1935 ft2
Apartments,2,2,Furnished,900,Ready to Move,5,1100,West,1,"₹ 50,00,000","Chandlodia, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1100 ft2
Apartments,2,2,Unfurnished,123,Ready to Move,10,1107,North-East,1,"₹ 42,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1107 ft2
Apartments,2,1,Semi-Furnished,855,Ready to Move,3,1181818,-,0,"₹ 43,00,000","Naranpura, Ahmedabad, Gujarat",2 Bds - 1 Ba - 1181818 ft2
Apartments,3,3,Unfurnished,1100,Ready to Move,14,1728,North-West,1,"₹ 80,00,000","Gota, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1728 ft2
Houses & Villas,2,2,Unfurnished,22,Ready to Move,1,22,-,-,"₹ 22,00,000","Behrampura, Ahmedabad, Gujarat",2 Bds - 2 Ba - 22 ft2
Apartments,2,2,Semi-Furnished,880,Ready to Move,4,1100,West,1,"₹ 62,00,000","Sardar Colony, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1100 ft2
Apartments,2,2,Semi-Furnished,555,Ready to Move,4,1035,East,1,"₹ 55,00,000","Nava Vadaj, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1035 ft2
Apartments,2,2,Unfurnished,1314,Ready to Move,7,1314,East,1,"₹ 64,00,000","Nava Vadaj, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1314 ft2
Houses & Villas,4,3,Furnished,300,Ready to Move,1,2700,North-East,1,"₹ 2,65,00,000","Gota, Ahmedabad, Gujarat",4 Bds - 3 Ba - 2700 ft2
Apartments,3,3,Unfurnished,1228,Ready to Move,14,1890,East,1,"₹ 1,30,00,000","Ellis Bridge, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1890 ft2
Apartments,2,2,Furnished,121,Ready to Move,07,121,North-East,1,"₹ 40,00,000","Bapu Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 121 ft2
Apartments,2,2,Semi-Furnished,551,New Launch,14,534,East,2,"₹ 14,500","Ranip, Ahmedabad, Gujarat",2 Bds - 2 Ba - 534 ft2
Houses & Villas,1,1,Unfurnished,450,Ready to Move,1,882,East,1,"₹ 51,00,000","Ranip, Ahmedabad, Gujarat",1 Bds - 1 Ba - 882 ft2
Apartments,2,2,Unfurnished,126,Ready to Move,7,1134,North,1,"₹ 27,00,000","Odhav GIDC, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1134 ft2
Houses & Villas,3,3,Furnished,1458,Ready to Move,3,1458,West,2,"₹ 2,28,00,000","Ghatlodia, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1458 ft2
Apartments,1,1,Semi-Furnished,220,Ready to Move,4,128,East,1,"₹ 16,00,000","Bapu Nagar, Ahmedabad, Gujarat",1 Bds - 1 Ba - 128 ft2
Houses & Villas,3,2,Semi-Furnished,1170,Ready to Move,1,1350,West,1,"₹ 3,50,00,000","Ranip, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1350 ft2
Apartments,2,2,Unfurnished,200,Ready to Move,2,200,East,0,"₹ 27,00,000","Jamalpur, Ahmedabad, Gujarat",2 Bds - 2 Ba - 200 ft2
Apartments,2,2,Furnished,54,Ready to Move,2,62,North,1,"₹ 47,00,000","Ranip, Ahmedabad, Gujarat",2 Bds - 2 Ba - 62 ft2
Apartments,2,2,Unfurnished,110,Ready to Move,9,130,East,1,"₹ 49,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 130 ft2
Apartments,3,3,Unfurnished,1005,Ready to Move,13,1764,East,1,"₹ 86,00,000","Gota, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1764 ft2
Apartments,2,2,Unfurnished,700,Ready to Move,5,1100,North-East,2,"₹ 17,21,000","Vatva, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1100 ft2
Houses & Villas,3,2,Semi-Furnished,900,Ready to Move,2,900,East,1,"₹ 58,00,000","Bapu Nagar, Ahmedabad, Gujarat",3 Bds - 2 Ba - 900 ft2
Apartments,4,4,Semi-Furnished,1935,Ready to Move,10,2322,East,1,"₹ 2,65,00,000","Ambavadi, Ahmedabad, Gujarat",4 Bds - 4 Ba - 2322 ft2
Houses & Villas,4+,4+,Semi-Furnished,2000,Ready to Move,3,2000,North-East,2,"₹ 1,53,50,000","Naranpura, Ahmedabad, Gujarat",4+ Bds - 4+ Ba - 2000 ft2
Apartments,2,2,Semi-Furnished,121,Ready to Move,7,1089,East,1,"₹ 38,00,000","New Ranip, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1089 ft2
-,-,-,-,-,-,-,-,-,-,"₹ 1,55,00,000",-,-
Apartments,1,1,Furnished,0,Ready to Move,-,0,-,-,"₹ 50,00,000","Vasna, Ahmedabad, Gujarat",1 Bds - 1 Ba - 0 ft2
Houses & Villas,4+,3,Semi-Furnished,270,Ready to Move,2,280,West,2,"₹ 1,90,00,000","Bapu Nagar, Ahmedabad, Gujarat",4+ Bds - 3 Ba - 280 ft2
Apartments,3,3,Furnished,974,Ready to Move,7,1771,East,2,"₹ 1,20,00,000","Vastral, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1771 ft2
Apartments,3,2,Semi-Furnished,1215,Ready to Move,4,1350,East,1,"₹ 82,00,000","Shahibag, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1350 ft2
Houses & Villas,2,2,Semi-Furnished,390,Ready to Move,-,390,East,-,"₹ 45,00,000","Bapu Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 390 ft2
Apartments,1,1,Furnished,74,Ready to Move,10,666,North-East,1,"₹ 35,00,000","Jagatpur, Ahmedabad, Gujarat",1 Bds - 1 Ba - 666 ft2
Apartments,2,2,Furnished,1100,Ready to Move,7,1600,East,2,"₹ 75,00,000","Ambavadi, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1600 ft2
Apartments,3,2,Unfurnished,215,Ready to Move,12,1935,North-East,1,"₹ 85,00,000","Chandkheda, Ahmedabad, Gujarat",3 Bds - 2 Ba - 1935 ft2
Apartments,2,2,Furnished,135,Ready to Move,2,1215,East,1,"₹ 35,00,000","Nava Vadaj, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1215 ft2
Apartments,2,2,Semi-Furnished,806,Ready to Move,7,1152,North-West,1,"₹ 44,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1152 ft2
Apartments,2,2,Furnished,1098,Ready to Move,10,1098,East,1,"₹ 50,00,000","Chandkheda, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1098 ft2
Apartments,3,3,Unfurnished,903,Ready to Move,7,1742,South,1,"₹ 1,24,00,000","Vastrapur, Ahmedabad, Gujarat",3 Bds - 3 Ba - 1742 ft2
Apartments,1,1,Unfurnished,500,Ready to Move,4,600,-,0,"₹ 21,51,000","Manek Chowk, Ahmedabad, Gujarat",1 Bds - 1 Ba - 600 ft2
Apartments,2,2,Furnished,1170,Ready to Move,5,1255,North,3+,"₹ 60,00,000","Ram Nagar, Ahmedabad, Gujarat",2 Bds - 2 Ba - 1255 ft2
Houses & Villas,4,4,Furnished,120,Ready to Move,1,120,South-East,2,"₹ 75,00,000","Megani Nagar, Ahmedabad, Gujarat",4 Bds - 4 Ba - 120 ft2
